k,inertia
1,90354.29254747587
2,84235.75762455135
3,81825.76106757173
4,77643.68058678412
5,75253.43805515679
6,73504.03027086116
7,71517.9256495632
8,69050.69370892091
9,67412.92600878564
10,65277.80088857605
