point_rank,k_distance
1,0.3403532675615107
2,0.3576334197476125
3,0.36336402974898213
4,0.37233693250657945
5,0.379286740206659
6,0.38862716749976
7,0.39078552241701114
8,0.40330581611090494
9,0.4134414709568031
10,0.4136537693951324
11,0.4164397537621011
12,0.4197640806204908
13,0.4390990679013125
14,0.46217248817363354
15,0.46334669033881587
16,0.4634117961434987
17,0.47017021590080793
18,0.4738606100359382
19,0.4738606100359382
20,0.479945078251158
21,0.4805553182136522
22,0.48593215798960027
23,0.49030170567538583
24,0.500365742689482
25,0.5046336021752269
26,0.5084419085116741
27,0.5128456743488591
28,0.5146525417950794
29,0.5165631493404496
30,0.5190352012719759
31,0.5233131037615305
32,0.5239768170965099
33,0.524194441618768
34,0.5312588769591529
35,0.531747124680468
36,0.5596432504856794
37,0.562019468987931
38,0.562019468987931
39,0.5655041812787636
40,0.5655041812787636
41,0.5706588854841005
42,0.5706588854841005
43,0.5733822813219868
44,0.5771174587405731
45,0.5789499921686285
46,0.5815845504400267
47,0.5839298904912259
48,0.587358711559937
49,0.6149124558917721
50,0.6194166417736126
51,0.6256020803902667
52,0.6268428654003126
53,0.6347154512428541
54,0.6412138209044742
55,0.6446089077340281
56,0.645597490046711
57,0.6478579417317094
58,0.6485663094541203
59,0.6575849972248561
60,0.6575849972248561
61,0.6651097884084135
62,0.6665088881955394
63,0.6850529367576184
64,0.691022487331719
65,0.7010469973875819
66,0.7048045096210285
67,0.7105896598610921
68,0.7158135173739034
69,0.7182174489755032
70,0.7253385724602903
71,0.7267633234807799
72,0.7305325759071041
73,0.7322628443876249
74,0.7331510717082396
75,0.7375919090195037
76,0.7416498104424691
77,0.745561509758326
78,0.76120474412781
79,0.7663200490326133
80,0.7692141985312352
81,0.7745539727400422
82,0.7755806709991957
83,0.7755806709991957
84,0.7815969216555474
85,0.782717098681016
86,0.7840893579636017
87,0.7852989001323926
88,0.7852989001323926
89,0.79008999856217
90,0.7909095211005236
91,0.7927558633153602
92,0.7961548964774258
93,0.7977456290592564
94,0.8014643937014843
95,0.8083217478240436
96,0.8104633307884425
97,0.8112926029567701
98,0.8112926029567701
99,0.8171798992519745
100,0.8177993529523429
101,0.8216309390186621
102,0.8261142968091562
103,0.8288160637587598
104,0.8323007620467153
105,0.8338796905737382
106,0.8378694728978909
107,0.8415081627636719
108,0.8428561502702614
109,0.8435482627622855
110,0.8468486915165748
111,0.8495212477361922
112,0.8578273542879218
113,0.8621782290406161
114,0.8633014184501532
115,0.8636020437125227
116,0.8641664288499302
117,0.8650035070298191
118,0.8677668606568456
119,0.8691546866122869
120,0.8696241006772483
121,0.8703812866554081
122,0.8734273641772278
123,0.8754408630323813
124,0.8773134577068068
125,0.8787560976541771
126,0.8789988473311232
127,0.8800916991655827
128,0.8803802552784672
129,0.880639492221218
130,0.885845666173084
131,0.8890309251348703
132,0.8931504912110002
133,0.8960301943066069
134,0.8978699695879948
135,0.8985487790763877
136,0.9000958945388985
137,0.9038587530076596
138,0.9040871182635658
139,0.9040871182635658
140,0.9072719935659693
141,0.9087864900989113
142,0.9087864900989113
143,0.9097787587410248
144,0.9132030147774942
145,0.9158668989596906
146,0.9187837943614782
147,0.9189575103845022
148,0.9195382550373351
149,0.9195382550373351
150,0.919933802089082
151,0.920867784414095
152,0.9228196847401168
153,0.9228196847401168
154,0.9251760702419143
155,0.929526913572931
156,0.9305705354449985
157,0.9322796483495439
158,0.9356150680643204
159,0.9374287116151708
160,0.9400536584670993
161,0.9423473819504037
162,0.9429031996927455
163,0.943303644576092
164,0.9433694629596083
165,0.9452947374293882
166,0.9461193964690436
167,0.9475871889686902
168,0.9491405351813608
169,0.9497690417569745
170,0.9506827324366708
171,0.951654363330577
172,0.9521135184991671
173,0.952220233920787
174,0.9533030205965508
175,0.9540893249258847
176,0.9546094327220956
177,0.9546873065866094
178,0.9548235583427391
179,0.9548235583427391
180,0.9552547889097021
181,0.9555136812838495
182,0.9558533182258243
183,0.9568999821355875
184,0.9570118584562994
185,0.9570463029510361
186,0.9578169913523042
187,0.9600635885083094
188,0.9607411009068979
189,0.9625522485428094
190,0.9627913601234928
191,0.9702465628129486
192,0.9702970125729518
193,0.9708840284570668
194,0.9716836017086743
195,0.977549838130634
196,0.9781836027322792
197,0.9781836027322792
198,0.9806598552200504
199,0.9812896047221293
200,0.9822274502157575
201,0.9825860364824979
202,0.9831075981258048
203,0.9840027540650744
204,0.987281978764022
205,0.987281978764022
206,0.9878322600490503
207,0.9879414605296506
208,0.9887055151935282
209,0.9898165811480559
210,0.9898713035108453
211,0.9902799038760826
212,0.9903006648361865
213,0.9924673172725019
214,0.9925133962512448
215,0.9928078035873329
216,0.9950656907467654
217,0.9957428760107164
218,0.9961761504125681
219,0.9978992062877401
220,1.0001953876959737
221,1.0008244361234409
222,1.0029621842817895
223,1.0039134187748073
224,1.004006707618972
225,1.0040400765146986
226,1.0043091272896338
227,1.0089492883180422
228,1.0090906412919256
229,1.0096586673431813
230,1.0102040262720662
231,1.0105245661568971
232,1.0112696572909967
233,1.0124019450546913
234,1.0124019450546913
235,1.0125107345875617
236,1.0149319310001637
237,1.0156210362773352
238,1.0160090818736822
239,1.0171705293323037
240,1.0200768655403307
241,1.0203616179156692
242,1.021181489877309
243,1.0212830730045093
244,1.021491384640632
245,1.0226638562078785
246,1.022716822890748
247,1.0241340449122451
248,1.027045947196666
249,1.0287134729908223
250,1.029143518156006
251,1.0292123098336499
252,1.0297080917376762
253,1.0297080917376762
254,1.031434928570097
255,1.03276755609208
256,1.0330127009691137
257,1.0348353828698942
258,1.0359649062029936
259,1.0359649062029936
260,1.0367671867853008
261,1.0367671867853008
262,1.0377422646349381
263,1.0402322220234637
264,1.04193623777993
265,1.04193623777993
266,1.0420421808960885
267,1.0427843397111993
268,1.043360018608263
269,1.0475866974528656
270,1.0490535643496113
271,1.0494497031725036
272,1.0495693147978824
273,1.0508299241518542
274,1.0522751719038845
275,1.0534287416802888
276,1.053734438717599
277,1.0576260847138212
278,1.0583494145776768
279,1.0586740012422695
280,1.0587959839023917
281,1.0611139716919282
282,1.0616488328082858
283,1.0631172989222248
284,1.0640929459158006
285,1.0642329140521476
286,1.0649440029034225
287,1.0653836511591304
288,1.066382535997297
289,1.066540166321627
290,1.0673463563400871
291,1.0674665685639302
292,1.0677036800964594
293,1.069488236639293
294,1.0695634254591706
295,1.0701045149511337
296,1.0711843715297507
297,1.0717471418747289
298,1.072594582173409
299,1.072594582173409
300,1.0729804997486576
301,1.0742147618804696
302,1.074692836973752
303,1.0749976204526255
304,1.0754735472038377
305,1.0768943356186311
306,1.0768943356186311
307,1.0787002290517533
308,1.0789715956194295
309,1.0791695718610206
310,1.080118283475039
311,1.080943331509585
312,1.080943331509585
313,1.0852423911480107
314,1.0864888011469116
315,1.0865573086465485
316,1.08694682440104
317,1.0871521099339998
318,1.0879982371091643
319,1.0882603451483694
320,1.090378029982774
321,1.0904201666053293
322,1.0907900410746052
323,1.0913559688372432
324,1.0921298603553695
325,1.0921298603553695
326,1.0926028298772628
327,1.092666930849095
328,1.0928821553148416
329,1.0928829301336767
330,1.0939655037699385
331,1.095148912776444
332,1.0957838420429142
333,1.095965235911224
334,1.0966303992316981
335,1.0975242001858887
336,1.0980882197702122
337,1.0981255311624627
338,1.0984761602737247
339,1.101576410710818
340,1.102253904144998
341,1.1029893754026554
342,1.1047886602469335
343,1.1050564736423758
344,1.105329818882851
345,1.1058145950625375
346,1.1062060810010483
347,1.1066661459881748
348,1.1100251083322932
349,1.1105085982940648
350,1.1110131860659451
351,1.1110131860659451
352,1.1112292477659917
353,1.111831738217365
354,1.1119395668174137
355,1.1127920687708064
356,1.1137109136860175
357,1.1137406268336676
358,1.114692056183582
359,1.1158060410809225
360,1.1159616190426387
361,1.1168033919840799
362,1.1177987014176534
363,1.1179644327191263
364,1.1184878304814097
365,1.1184878304814097
366,1.1187724514392983
367,1.120930488781903
368,1.121111525254718
369,1.122369917725114
370,1.1231922162405052
371,1.1248625454107308
372,1.1250370964284686
373,1.1254479029194158
374,1.1256064887576152
375,1.1258692100678227
376,1.1260936383351487
377,1.1263118872453786
378,1.1271722328495477
379,1.1273899291698197
380,1.1281514938775592
381,1.1303851895859038
382,1.1307673479465568
383,1.131323578121224
384,1.1327870278303882
385,1.133394867833355
386,1.13414557077862
387,1.1356558560976453
388,1.136543163589432
389,1.1374725296778767
390,1.1384365057900143
391,1.139963457008738
392,1.1417728986789484
393,1.1426455334927306
394,1.1429337030430387
395,1.1433420106276084
396,1.1437439112597012
397,1.145952611782182
398,1.1463289148841498
399,1.1465684278017065
400,1.1471954316282327
401,1.1479645186438503
402,1.1479645186438503
403,1.1480085167553498
404,1.148958759211863
405,1.1499503051059212
406,1.1510523545464382
407,1.1511495422361058
408,1.1519844718176162
409,1.153142300358795
410,1.1531926394232208
411,1.1532987046315937
412,1.1533752984828072
413,1.1541257914340974
414,1.1552000697131575
415,1.1565309648377242
416,1.1608698482425661
417,1.161190647197446
418,1.1618205328986366
419,1.161954178056161
420,1.162861444401823
421,1.1648121265227716
422,1.1652962518470067
423,1.1662041333320943
424,1.167073185352998
425,1.1677987613819252
426,1.1701308400880615
427,1.1711230787534923
428,1.1717538473869178
429,1.1717538473869178
430,1.1724789255327375
431,1.1743224114163076
432,1.1747948746027908
433,1.175044024857816
434,1.1752904725347322
435,1.1756854936427488
436,1.1757736416573543
437,1.1814309285360822
438,1.1817859185658013
