k,inertia
1,18689.085836501188
2,16647.890898115944
3,14795.150702991843
4,13118.508971490959
5,12805.272383617033
6,11161.587821829158
7,10528.607151108106
8,10049.915800194194
9,9670.583032922885
10,9289.099097622871
