point_rank,k_distance
1,0.4844583707570524
2,0.4845787497251412
3,0.4886962930151046
4,0.5007266807549142
5,0.5031076871557175
6,0.5031462890756938
7,0.509511948861754
8,0.5105181986683622
9,0.5122596039407699
10,0.5141951849935325
11,0.5147737667439319
12,0.521724488062587
13,0.5240074561200156
14,0.5270640236112213
15,0.5329413667741139
16,0.5338499713472266
17,0.5338499713472266
18,0.5345904019627797
19,0.535128762633161
20,0.5389812365873038
21,0.5389812365873038
22,0.5431105904873214
23,0.5453538484379662
24,0.5466645207230925
25,0.5482412684632179
26,0.5486968388146449
27,0.5486968388146449
28,0.5500427332261021
29,0.5557403222250398
30,0.5620702577515275
31,0.5629478315161309
32,0.5643921090073845
33,0.5643921090073845
34,0.5655958990721109
35,0.5676559111635703
36,0.5731174520677214
37,0.5733853095707013
38,0.5743297674615291
39,0.5787421256861635
40,0.5817205560012758
41,0.584859864096582
42,0.5862236078258367
43,0.5862663005101802
44,0.5867479459159636
45,0.5881952538521956
46,0.5888597354911321
47,0.5888597354911321
48,0.592645803852961
49,0.5928401172427823
50,0.5955126458246981
51,0.6000191155797238
52,0.6001612627420642
53,0.601315480675759
54,0.6032410621009057
55,0.6041292821521489
56,0.6047039233509931
57,0.6057970376607058
58,0.6076326717173154
59,0.6082606035151419
60,0.6089370201224265
61,0.6094190466246693
62,0.6094190466246693
63,0.6102720551370486
64,0.6110609661631694
65,0.6110609661631694
66,0.6115205194407451
67,0.6118266058384007
68,0.6126874415829017
69,0.6150281177276918
70,0.6160021339632223
71,0.6200410376084129
72,0.6202757785431398
73,0.6212951353660117
74,0.6217758825337454
75,0.6220780764827194
76,0.6229212368355541
77,0.623220372479293
78,0.6261672346587346
79,0.6264729821156797
80,0.6266857279105451
81,0.6267523838562633
82,0.6285110854688138
83,0.6288402701268442
84,0.6295562372892466
85,0.6319722277360135
86,0.6335908669739512
87,0.6337734276347052
88,0.6338659208228451
89,0.6350215097211046
90,0.6352237224280384
91,0.6352237224280384
92,0.635546782730546
93,0.6364483785470746
94,0.6366239713159164
95,0.637061664424865
96,0.6375702983446223
97,0.6403511533423487
98,0.6406561410877081
99,0.6422061698045552
100,0.6424411379801055
101,0.6428316155035727
102,0.6428988786076918
103,0.6437145647484985
104,0.6448992681542132
105,0.6448992681542132
106,0.6450414745522223
107,0.646133645584878
108,0.6463445776835433
109,0.6465643820621276
110,0.6468544595508406
111,0.6476008942070568
112,0.6477932065280804
113,0.6482390408421008
114,0.648488422769526
115,0.648553797938611
116,0.6487578228658727
117,0.6503774855428043
118,0.6523019489401184
119,0.6531558611989726
120,0.6537606869960876
121,0.6544741856744541
122,0.6552091438914542
123,0.6558014913396742
124,0.655961608308041
125,0.6576829814992028
126,0.6600273484212666
127,0.661570523726618
128,0.661884690422376
129,0.6629778986723434
130,0.6638690951831303
131,0.6646222434413914
132,0.6661932510129825
133,0.6669195685207864
134,0.6695733773587097
135,0.6706237410298663
136,0.6707132374078207
137,0.6710596670776142
138,0.6726446621628158
139,0.6751493305350273
140,0.67902767541306
141,0.6800945542745634
142,0.6801532446474864
143,0.6817127649124681
144,0.6825679448186331
145,0.6827037807441823
146,0.6842531879667024
147,0.6844020520432348
148,0.6844816168663255
149,0.6853101749399761
150,0.6855565984913908
151,0.6857109716892966
152,0.6857109716892966
153,0.6859998477648773
154,0.6862806778011291
155,0.6866365390448782
156,0.6866388392506031
157,0.6873346098621512
158,0.6878570372441326
159,0.688144326699893
160,0.688247719196582
161,0.6910312635953301
162,0.6919006077246441
163,0.6928040316547714
164,0.692860538042378
165,0.692963386766527
166,0.692963386766527
167,0.6961925697258062
168,0.6963236080395423
169,0.6974268702368361
170,0.6980857078469378
171,0.69810360851025
172,0.6985222966301426
173,0.6988202017498435
174,0.6992442179715564
175,0.6996204383330461
176,0.7017781296448464
177,0.7026980334790099
178,0.703972135381222
179,0.7062802816746752
180,0.7069372415539706
181,0.7069882654585539
182,0.7092787238386655
183,0.7094723417166818
184,0.7096100132348554
185,0.7097075677301514
186,0.7102548715092141
187,0.7104797274094148
188,0.7107028797596933
189,0.7119852572756763
190,0.7119852572756763
191,0.7123210727448455
192,0.7124103993090419
193,0.7131952460122866
194,0.7136581491380142
195,0.713719265479855
196,0.714286995116551
197,0.7153744200720312
198,0.7158978585687732
199,0.715966455562335
200,0.7171491966174864
201,0.7178234322225759
202,0.7187121513242526
203,0.7203262273600111
204,0.7226484797185352
205,0.7228965511422878
206,0.7246620849317592
207,0.725014505784069
208,0.7257471092445076
209,0.7258482805983515
210,0.7261984882801392
211,0.7278986663871795
212,0.7282109837299358
213,0.7305501979586604
214,0.7305501979586604
215,0.7310326689216247
216,0.7310714565534688
217,0.7328208185255674
218,0.7332831641726509
219,0.734417445115696
220,0.7346539800721708
221,0.7349140673648797
222,0.7349345703138235
223,0.7349345703138235
224,0.7366265412609782
225,0.7371346455607762
226,0.7371466928755218
227,0.73721046649123
228,0.7377086150499668
229,0.7382035834324006
230,0.7398313417861209
231,0.7402219575905933
232,0.7415066335173421
233,0.7429123855007217
234,0.7432758689164768
235,0.7440039266879942
236,0.7447720046397248
237,0.7458606667245751
238,0.7458995682481492
239,0.7459122462494415
240,0.7461306185140465
241,0.7466195969194818
242,0.7468126527671467
243,0.7473915069980585
244,0.7478820059934665
245,0.7480240621414527
246,0.7507921860197231
247,0.7510794929245354
248,0.7512647635972189
249,0.7513519522671489
250,0.7513519522671489
251,0.7536672340110939
252,0.7547222172203313
253,0.7557457281393851
254,0.7570777312981489
255,0.7574957385264022
256,0.7583237295592226
257,0.7589391668651309
258,0.7590379983724002
259,0.7598771501862748
260,0.75996265240492
261,0.7612701862794599
262,0.7614587689586951
263,0.7615187355593971
264,0.7638327297031067
265,0.7642633057710758
266,0.7648972979976171
267,0.7656296320488227
268,0.7656443857243649
269,0.765644483822387
270,0.765644483822387
271,0.766160323923196
272,0.7665882426770528
273,0.7665882426770528
274,0.7676019530685478
275,0.7677705933754181
276,0.7683449462139349
277,0.7693031915983697
278,0.7693851221781483
279,0.7704209250500016
280,0.7705569468255068
281,0.7707822397817743
282,0.7711550237228297
283,0.7723619223187064
284,0.7727130977681427
285,0.7727505280580392
286,0.7727505280580392
287,0.7729019356720733
288,0.7731279161595211
289,0.7734204378344361
290,0.7734482514829213
291,0.7739093911037972
292,0.7744870590579888
293,0.7744870590579888
294,0.7756041160938211
295,0.7756041160938211
296,0.7760452721561422
297,0.7776685465200243
298,0.7777877560820087
299,0.7784532297837836
300,0.7785008230786852
301,0.7785441535327694
302,0.7785441535327694
303,0.7787033899093085
304,0.7787503896653569
305,0.7788984168482935
306,0.7788984168482935
307,0.7798540791496381
308,0.779860586983177
309,0.7811823630696366
310,0.781684272709741
311,0.7819318374620294
312,0.7830132652517324
313,0.7833693896948583
314,0.7834999407118457
315,0.7840976631263614
316,0.784793912279313
317,0.784985903240185
318,0.7855303698756184
319,0.7860128823638507
320,0.786689082761393
321,0.786787938832293
322,0.7870493443489609
323,0.787058089589911
324,0.7874311319121301
325,0.7874446529910469
326,0.7874810905764079
327,0.787555490794289
328,0.787769713226442
329,0.7883972198334679
330,0.7886944317822563
331,0.7892359970892006
332,0.78946273147193
333,0.7895525546709066
334,0.7903886508174357
335,0.7905843676778072
336,0.7924556183987135
337,0.7924556183987135
338,0.7927867926385204
339,0.7929777041706688
340,0.793665829961276
341,0.7936702261552692
342,0.7938775401155045
343,0.7939881776425595
344,0.7944909487338976
345,0.7945819675716009
346,0.7947100012560345
347,0.7951820085765489
348,0.7954228903894572
349,0.7956199032660514
350,0.7957232518714148
351,0.7961846622772883
352,0.7968418037078425
353,0.7979319485842564
354,0.7979319485842564
355,0.7983149151774941
356,0.799262055794757
357,0.799513727783676
358,0.8017517812952955
359,0.8019318586474893
360,0.8020655126555141
361,0.8022925438875531
362,0.8039839006080624
363,0.8047411754040615
364,0.804758122522859
365,0.8052903340081559
366,0.8053263016011879
367,0.8053263016011879
368,0.8061144174888766
369,0.8066282450485086
370,0.8073247540154872
371,0.8086969298581772
372,0.8093886643376627
373,0.8096268193846651
374,0.8096268193846651
375,0.8096632516861136
376,0.8096632516861136
377,0.8100123631209373
378,0.8102127724005652
379,0.8105589971003253
380,0.8110560649776026
381,0.8115568617707144
382,0.8125220555826098
383,0.812799107991247
384,0.8129118716250465
385,0.8130857907044995
386,0.8135735008778231
387,0.8138602806121241
388,0.8148400492395756
389,0.8150134902833688
390,0.815241375531706
391,0.8156063736015841
392,0.8157581721941793
393,0.815914725590498
394,0.816164456304163
395,0.816164456304163
396,0.8162235090246527
397,0.8164940611251756
398,0.8167385797035462
399,0.8169673683090279
400,0.8172522892494447
401,0.8175846347895438
402,0.8176717837497155
403,0.8176889103204746
404,0.817812043194563
405,0.8182130363305663
406,0.8187887859874325
407,0.8194069146058965
408,0.8195196542175491
409,0.8202328543144541
410,0.8203607226077684
411,0.8211303064527428
412,0.8211893355776543
413,0.8214183589942528
414,0.8217345088269401
415,0.8225827775267354
416,0.8227991978659706
417,0.8236996086181191
418,0.8237988445923478
419,0.824553020802021
420,0.824618280368651
421,0.8247718807909836
422,0.8256592164614989
423,0.8273950793877077
424,0.8274586668191178
425,0.8275939271549966
426,0.8276037895181423
427,0.827991949212836
428,0.828235241702885
429,0.8283377673350167
430,0.8288815056778079
431,0.8296994571769064
432,0.8304358593264829
433,0.8306166278328745
434,0.8310961053906961
435,0.831124810985215
436,0.8317991087619172
437,0.831964688962208
