k,inertia
1,15535.326782893186
2,10062.94020738332
3,8534.851555471409
4,7741.538758576657
5,7044.909020830766
6,6478.779112914973
7,6102.289948178549
8,5756.079967686324
9,5422.023076894756
10,5194.716629741805
