dataset,algorithm,accuracy,f1_macro,auc_roc
breast_cancer,SAMME,0.956140350877193,0.9521289997480473,0.9818121693121693
breast_cancer,SAMME.R,0.9649122807017544,0.9614864864864865,0.9861111111111112
