dataset,n_estimators,train_error,test_error
breast_cancer,1,0.07692307692307687,0.07894736842105265
breast_cancer,5,0.03516483516483515,0.07017543859649122
breast_cancer,10,0.01758241758241763,0.03508771929824561
breast_cancer,15,0.00659340659340657,0.04385964912280704
breast_cancer,20,0.00439560439560438,0.04385964912280704
breast_cancer,25,0.0,0.052631578947368474
breast_cancer,30,0.0,0.052631578947368474
breast_cancer,35,0.0,0.04385964912280704
breast_cancer,40,0.0,0.04385964912280704
breast_cancer,45,0.0,0.04385964912280704
breast_cancer,50,0.0,0.04385964912280704
breast_cancer,55,0.0,0.04385964912280704
breast_cancer,60,0.0,0.04385964912280704
breast_cancer,65,0.0,0.04385964912280704
breast_cancer,70,0.0,0.04385964912280704
breast_cancer,75,0.0,0.04385964912280704
breast_cancer,80,0.0,0.04385964912280704
breast_cancer,85,0.0,0.04385964912280704
breast_cancer,90,0.0,0.04385964912280704
breast_cancer,95,0.0,0.04385964912280704
breast_cancer,100,0.0,0.04385964912280704
breast_cancer,105,0.0,0.04385964912280704
breast_cancer,110,0.0,0.04385964912280704
breast_cancer,115,0.0,0.04385964912280704
breast_cancer,120,0.0,0.04385964912280704
breast_cancer,125,0.0,0.04385964912280704
breast_cancer,130,0.0,0.03508771929824561
breast_cancer,135,0.0,0.03508771929824561
breast_cancer,140,0.0,0.03508771929824561
breast_cancer,145,0.0,0.03508771929824561
breast_cancer,150,0.0,0.03508771929824561
breast_cancer,155,0.0,0.03508771929824561
breast_cancer,160,0.0,0.03508771929824561
breast_cancer,165,0.0,0.03508771929824561
breast_cancer,170,0.0,0.03508771929824561
breast_cancer,175,0.0,0.03508771929824561
breast_cancer,180,0.0,0.03508771929824561
breast_cancer,185,0.0,0.03508771929824561
breast_cancer,190,0.0,0.03508771929824561
breast_cancer,195,0.0,0.03508771929824561
breast_cancer,200,0.0,0.03508771929824561
