dataset,model,accuracy,f1_macro,auc_roc
breast_cancer,AdaBoost,0.956140350877193,0.9521289997480473,0.9818121693121693
breast_cancer,Gradient Boosting,0.9385964912280702,0.9343480049362403,0.9899140211640212
